mode,sort_keys,proj_cols,repeat,exec_time_s,sort_cpu_s,sort_I_s,sort_O_s,sort_F_s,peak_mem_GB
baseline,1,4,1,8.22,5.07,2.05,1.21,1.79,1.89
baseline,1,4,2,8.13,5.02,2.03,1.18,1.78,1.89
baseline,1,4,3,8.25,5.09,2.04,1.25,1.78,1.89
baseline,1,8,1,13.48,8.29,3.44,2.38,2.44,3.78
baseline,1,8,2,13.31,8.15,3.43,2.29,2.40,3.78
baseline,1,8,3,13.42,8.23,3.45,2.34,2.42,3.78
baseline,1,12,1,18.67,12.10,5.19,4.13,2.77,5.61
baseline,1,12,2,19.16,12.29,5.37,4.14,2.75,5.61
baseline,1,12,3,18.49,11.96,5.15,4.04,2.75,5.61
baseline,1,16,1,38.78,24.09,9.93,10.90,3.22,11.60
baseline,1,16,2,38.78,23.96,9.55,11.17,3.21,11.60
baseline,1,16,3,38.58,24.13,9.59,11.20,3.31,11.60
baseline,2,4,1,22.49,19.37,2.04,1.76,15.55,1.89
baseline,2,4,2,22.48,19.37,2.04,1.76,15.55,1.89
baseline,2,4,3,22.59,19.47,2.05,1.77,15.62,1.89
baseline,2,8,1,28.19,23.02,3.43,2.82,16.74,3.78
baseline,2,8,2,28.52,23.21,3.45,2.87,16.87,3.78
baseline,2,8,3,28.19,23.02,3.44,2.83,16.73,3.78
baseline,2,12,1,34.14,27.50,5.17,4.69,17.62,5.61
baseline,2,12,2,33.91,27.39,5.18,4.72,17.47,5.61
baseline,2,12,3,34.02,27.47,5.17,4.72,17.56,5.61
baseline,2,16,1,60,45.86,9.56,17.97,18.30,11.60
baseline,2,16,2,61,46.27,9.62,18.14,18.49,11.60
baseline,2,16,3,60,46.01,9.56,18.03,18.40,11.60
baseline,3,4,1,27.82,24.61,2.06,1.64,20.88,1.89
baseline,3,4,2,28.21,24.99,2.06,1.67,21.23,1.89
baseline,3,4,3,27.99,24.84,2.06,1.66,21.09,1.89
baseline,3,8,1,34.15,28.93,3.49,2.76,22.66,3.78
baseline,3,8,2,33.82,28.52,3.45,2.76,22.28,3.78
baseline,3,8,3,33.98,28.67,3.48,2.75,22.41,3.78
baseline,3,12,1,39.33,32.78,5.18,4.56,23.01,5.61
baseline,3,12,2,39.33,32.77,5.19,4.61,22.95,5.61
baseline,3,12,3,39.37,32.82,5.19,4.57,23.03,5.61
baseline,3,16,1,66,51.18,9.55,17.69,23.91,11.60
baseline,3,16,2,66,51.38,9.57,17.89,23.89,11.60
baseline,3,16,3,66,51.41,9.60,17.87,23.91,11.60
baseline,4,4,1,28.89,25.76,2.09,1.54,22.11,1.89
baseline,4,4,2,29.03,25.87,2.09,1.56,22.19,1.89
baseline,4,4,3,28.70,25.60,2.09,1.52,21.96,1.89
baseline,4,8,1,34.80,29.60,3.48,2.70,23.40,3.78
baseline,4,8,2,34.65,29.39,3.46,2.69,23.21,3.78
baseline,4,8,3,34.70,29.51,3.49,2.65,23.34,3.78
baseline,4,12,1,40.31,33.79,5.21,4.49,24.06,5.61
baseline,4,12,2,40.44,33.87,5.21,4.49,24.15,5.61
baseline,4,12,3,40.40,33.84,5.20,4.57,24.04,5.61
baseline,4,16,1,67,52.20,9.58,17.77,24.82,11.60
