mode,sort_keys,proj_cols,addInput_ms,getOutput_ms,sortTime_s,cpuTime_s,execTime_s
baseline,1,4,2123.33,512.57,0.625,3.29,6.04
hybrid-opt,1,4,795.52,620.60,0.988,2.43,4.90
hybrid-nonopt,1,4,817.27,3030.00,0.518,4.39,9.41
baseline,1,8,3456.67,1096.67,0.877,5.46,10.30
hybrid-opt,1,8,809.76,1110.00,1.627,3.56,8.48
hybrid-nonopt,1,8,814.38,11233.33,0.504,12.58,18.08
baseline,1,12,5346.67,2556.67,1.140,9.07,15.30
hybrid-opt,1,12,828.11,1690.00,2.630,5.17,11.59
hybrid-nonopt,1,12,1123.33,23013.33,0.508,24.67,32.04
baseline,1,16,10646.67,7213.33,1.513,19.40,42.97
hybrid-opt,1,16,851.15,4153.33,7.037,12.06,26.56
hybrid-nonopt,1,16,2086.67,34940.00,0.509,37.56,53.67
baseline,2,4,2066.67,516.06,4.340,6.95,9.58
hybrid-opt,2,4,976.75,679.24,4.373,6.05,8.45
hybrid-nonopt,2,4,986.49,2100.00,4.133,7.24,9.88
baseline,2,8,3483.33,1110.00,5.403,10.02,14.78
hybrid-opt,2,8,987.14,1163.33,5.033,7.21,12.05
hybrid-nonopt,2,8,996.79,8663.33,4.093,13.78,19.09
baseline,2,12,5153.33,2486.67,6.660,14.33,20.55
hybrid-opt,2,12,1013.33,1666.67,5.993,8.70,14.88
hybrid-nonopt,2,12,1240.00,24306.67,4.117,29.69,36.98
baseline,2,16,9910.00,7630.00,9.277,26.84,500.00
hybrid-opt,2,16,1023.33,4210.00,10.467,15.73,30.15
hybrid-nonopt,2,16,2050.00,33026.67,4.047,39.15,55.20
baseline,3,4,2106.67,521.00,4.417,7.07,9.77
hybrid-opt,3,4,1163.33,755.83,4.340,6.28,8.61
hybrid-nonopt,3,4,1170.00,1343.33,4.277,6.81,9.27
baseline,3,8,3503.33,1130.00,5.517,10.17,14.89
hybrid-opt,3,8,1176.67,1160.00,4.963,7.33,12.06
hybrid-nonopt,3,8,1183.33,6386.67,4.277,11.87,17.04
baseline,3,12,5213.33,2486.67,6.837,14.56,20.72
hybrid-opt,3,12,1200.00,1733.33,5.977,8.93,15.18
hybrid-nonopt,3,12,1473.33,18473.33,4.227,24.20,31.30
baseline,3,16,9573.33,7240.00,8.403,25.25,39.24
hybrid-opt,3,16,1226.67,4336.67,10.550,16.14,30.88
hybrid-nonopt,3,16,2230.00,32646.67,4.177,39.08,55.10
baseline,4,4,2136.67,503.15,4.263,6.93,9.49
hybrid-opt,4,4,2143.33,520.70,4.350,7.04,9.66
hybrid-nonopt,4,4,2123.33,476.68,4.107,6.73,9.25
baseline,4,8,3506.67,1083.33,5.307,9.92,14.48
hybrid-opt,4,8,1373.33,1210.00,5.287,7.90,12.61
hybrid-nonopt,4,8,1330.00,4930.00,4.247,10.53,15.34
baseline,4,12,5193.33,2426.67,6.437,14.08,20.04
hybrid-opt,4,12,1400.00,1766.67,6.220,9.41,15.51
hybrid-nonopt,4,12,1600.00,11533.33,4.263,17.42,24.00
baseline,4,16,9583.33,7140.00,8.207,24.96,38.78
hybrid-opt,4,16,1416.67,4420.00,10.647,16.51,31.72
hybrid-nonopt,4,16,2310.00,25520.00,4.233,32.08,47.40
