mode,selectivity,num_drivers,repeat,exec_time_s,join_cpu_s,build_cpu_s,probe_cpu_s,build_I_s,probe_I_s,probe_O_s,peak_mem_GB,output_rows
baseline,10,1,1,11.48,5.69,4.52,1.17,2.97,.3134,.7963,3.18,16815756
baseline,10,1,2,11.70,5.76,4.56,1.20,2.97,.3162,.8110,3.18,16815756
baseline,10,1,3,11.41,5.64,4.48,1.17,2.96,.3113,.7903,3.18,16815756
baseline,10,4,1,4.14,5.61,4.26,1.35,3.53,.3831,.8955,1.09,16815756
baseline,10,4,2,4.07,5.41,4.08,1.33,3.33,.3847,.8773,1.09,16815756
baseline,10,4,3,4.11,5.40,4.05,1.35,3.33,.3788,.9016,1.09,16815756
baseline,30,1,1,16.48,7.85,4.50,3.35,2.97,.8212,2.42,3.18,50372556
baseline,30,1,2,16.49,7.90,4.58,3.32,3.05,.8219,2.39,3.18,50372556
baseline,30,1,3,16.57,7.88,4.55,3.33,3.01,.8207,2.40,3.18,50372556
baseline,30,4,1,5.72,7.75,3.99,3.75,3.28,.9480,2.69,1.09,50372556
baseline,30,4,2,,,,,,,,,
baseline,30,4,3,5.75,7.89,4.11,3.78,3.39,.9385,2.72,1.09,50372556
baseline,60,1,1,28.11,12.37,4.52,7.85,3.00,2.31,5.30,3.18,100757440
baseline,60,1,2,24.32,11.15,4.49,6.66,2.97,1.63,4.84,3.18,100757440
baseline,60,1,3,24.30,11.14,4.48,6.66,2.97,1.60,4.87,3.18,100757440
baseline,60,4,1,8.21,11.53,4.03,7.49,3.33,1.85,5.44,1.09,100757440
baseline,60,4,2,8.24,11.43,3.94,7.49,3.24,1.85,5.44,1.09,100757440
baseline,60,4,3,8.29,11.49,3.98,7.51,3.22,1.86,5.45,1.09,100757440
baseline,90,1,1,32.03,14.43,4.54,9.89,3.02,2.37,7.26,3.18,151148488
baseline,90,1,2,32.10,14.47,4.52,9.95,3.00,2.38,7.31,3.18,151148488
baseline,90,1,3,32.69,14.58,4.49,10.09,2.97,2.42,7.40,3.18,151148488
baseline,90,4,1,10.86,15.39,4.09,11.29,3.37,2.83,8.19,1.09,151148488
baseline,90,4,2,11.00,15.53,4.07,11.45,3.35,2.85,8.32,1.09,151148488
baseline,90,4,3,10.89,15.46,3.99,11.47,3.27,2.85,8.34,1.09,151148488
hybrid-opt,10,1,1,11.08,4.82,3.19,1.63,1.30,.3170,1.25,3.36,16815756
hybrid-opt,10,1,2,11.02,4.79,3.17,1.62,1.28,.3152,1.24,3.36,16815756
hybrid-opt,10,1,3,10.98,4.78,3.17,1.62,1.28,.3156,1.24,3.36,16815756
hybrid-opt,10,4,1,4.00,4.69,2.47,2.22,1.48,.4132,1.74,1.21,16815756
hybrid-opt,10,4,2,3.99,4.98,2.73,2.25,1.50,.4081,1.77,1.21,16815756
hybrid-opt,10,4,3,3.92,4.92,2.67,2.25,1.48,.4129,1.76,1.21,16815756
hybrid-opt,30,1,1,16.90,8.05,3.16,4.88,1.26,.8237,3.95,3.36,50372556
hybrid-opt,30,1,2,16.83,8.02,3.15,4.87,1.26,.8237,3.94,3.36,50372556
hybrid-opt,30,1,3,17.17,8.17,3.15,5.01,1.26,.8460,4.05,3.36,50372556
hybrid-opt,30,4,1,6.14,9.08,2.46,6.62,1.48,.9930,5.50,1.21,50372556
hybrid-opt,30,4,2,6.10,9.42,2.71,6.70,1.46,.9934,5.59,1.21,50372556
hybrid-opt,30,4,3,6.09,8.63,1.99,6.64,1.43,.9793,5.54,1.21,50372556
hybrid-opt,60,1,1,26.50,13.33,3.15,10.18,1.26,1.60,8.39,3.36,100757440
hybrid-opt,60,1,2,26.92,13.42,3.22,10.21,1.32,1.70,8.32,3.36,100757440
hybrid-opt,60,1,3,26.22,13.22,3.17,10.05,1.28,1.58,8.27,3.36,100757440
hybrid-opt,60,4,1,9.56,16.13,2.07,14.07,1.50,1.94,11.93,1.21,100757440
hybrid-opt,60,4,2,9.61,16.57,2.35,14.23,1.53,1.93,12.09,1.21,100757440
hybrid-opt,60,4,3,9.62,16.81,2.69,14.12,1.46,1.93,11.98,1.21,100757440
hybrid-opt,90,1,1,35.10,18.03,3.16,14.87,1.27,2.35,12.26,3.36,151148488
hybrid-opt,90,1,2,35.51,18.24,3.18,15.05,1.29,2.38,12.41,3.36,151148488
hybrid-opt,90,1,3,36.62,18.52,3.17,15.36,1.28,2.46,12.63,3.36,151148488
hybrid-opt,90,4,1,13.15,24.61,2.43,22.18,1.46,2.94,18.96,1.21,151148488
hybrid-opt,90,4,2,13.22,24.69,2.66,22.04,1.45,2.91,18.85,1.21,151148488
hybrid-opt,90,4,3,13.16,24.88,2.71,22.17,1.50,2.94,18.94,1.21,151148488
hybrid-non-opt,10,4,1,24.83,45.25,5.63,39.62,3.89,0.40,39.14,2.85,6300354
hybrid-non-opt,30,4,1,56.21,119.57,5.57,114.00,3.83,0.80,113.00,2.85,18894758
hybrid-non-opt,60,4,1,96.00,216.65,5.65,211.00,3.87,1.42,209.00,2.78,37793966
hybrid-non-opt,90,4,1,145.00,329.57,5.57,324.00,3.87,2.01,322.00,2.85,56699502
