config,selectivity,drivers,repeat,total_time_s,build_cpu_s,build_i_s,build_f_s,probe_cpu_s,probe_i_s,probe_o_s,hashjoin_cpu_s
baseline,10,1,1,51.56,31.58,24.4200,7.1400,1.48,446.7900,958.9900,33.06
baseline,10,1,2,43.18,24.31,18.2300,6.0600,1.24,357.0500,812.8400,25.55
baseline,10,1,3,43.28,24.29,18.2100,6.0600,1.25,357.1400,822.2800,25.54
baseline,10,4,1,42.31,23.45,18.1000,5.3400,1.21,353.5300,784.8600,24.66
baseline,10,4,2,42.74,18.31,18.1900,98.2300,1.25,363.5500,809.6600,19.56
baseline,10,4,3,42.41,23.56,18.2100,5.3300,1.21,355.1600,784.7900,24.77
baseline,30,1,1,46.78,24.32,18.2000,6.0900,2.82,858.1100,1.8600,27.14
baseline,30,1,2,46.65,24.32,18.2400,6.0700,2.81,858.8600,1.8600,27.13
baseline,30,1,3,46.49,24.31,18.2200,6.0700,2.79,854.5300,1.8500,27.10
baseline,30,4,1,45.81,23.46,18.1100,5.3400,2.80,858.6200,1.8400,26.26
baseline,30,4,2,45.82,23.53,18.2200,5.3000,2.80,856.5900,1.8500,26.33
baseline,30,4,3,45.99,23.57,18.1900,5.3600,2.82,863.9700,1.8600,26.39
baseline,60,1,1,51.17,24.21,18.1800,6.0200,4.95,1.6000,3.2300,29.16
baseline,60,1,2,51.32,24.28,18.1900,6.0700,4.98,1.6000,3.2700,29.26
baseline,60,1,3,51.34,24.27,18.1900,6.0600,4.96,1.6000,3.2500,29.23
baseline,60,4,1,50.43,23.44,18.0900,5.3300,4.94,1.6000,3.2300,28.38
baseline,60,4,2,50.60,23.50,18.1800,5.3000,4.95,1.6000,3.2400,28.45
baseline,60,4,3,50.99,18.74,18.6200,97.1700,4.95,1.6000,3.2400,23.69
baseline,90,1,1,55.79,24.26,18.1900,6.0500,6.99,2.3100,4.5400,31.25
baseline,90,1,2,55.84,24.19,18.1500,6.0100,7.04,2.3100,4.5800,31.23
baseline,90,1,3,55.92,24.29,18.2100,6.0700,6.99,2.3100,4.5400,31.28
baseline,90,4,1,54.88,23.45,18.1100,5.3200,6.95,2.3100,4.5100,30.40
baseline,90,4,2,55.07,23.50,18.1600,5.3300,6.95,2.3100,4.5000,30.45
baseline,90,4,3,55.22,23.75,18.4000,5.3400,6.96,2.3200,4.5100,30.71
hybrid-opt,10,1,1,40.65,18.29,5.0800,13.1900,1.41,349.0200,983.0400,19.70
hybrid-opt,10,1,2,40.94,18.47,5.1300,13.3200,1.40,348.0400,981.1100,19.87
hybrid-opt,10,1,3,40.78,18.38,5.1000,13.2600,1.40,348.4900,981.4400,19.78
hybrid-opt,10,4,1,39.48,17.49,5.0900,12.3800,1.05,351.7200,627.3300,18.54
hybrid-opt,10,4,2,39.87,17.66,5.1300,12.5100,1.05,350.8400,625.2100,18.71
hybrid-opt,10,4,3,39.57,17.57,5.0900,12.4600,1.06,350.9300,632.5000,18.63
hybrid-opt,30,1,1,43.81,18.34,5.0900,13.2300,2.81,833.8400,1.8900,21.15
hybrid-opt,30,1,2,44.16,18.32,5.0900,13.2100,2.85,850.1800,1.9000,21.17
hybrid-opt,30,1,3,44.36,18.45,5.1300,13.3000,2.83,841.1600,1.8800,21.28
hybrid-opt,30,4,1,42.48,17.45,5.1000,12.3400,2.44,839.0500,1.5100,19.89
hybrid-opt,30,4,2,42.64,17.58,5.1000,12.4600,2.45,840.6200,1.5200,20.03
hybrid-opt,30,4,3,42.88,17.69,5.1500,12.5200,2.44,839.1700,1.5100,20.13
hybrid-opt,60,1,1,48.38,18.31,5.0800,13.2200,4.87,1.5200,3.2300,23.18
hybrid-opt,60,1,2,48.48,18.41,5.1100,13.2800,4.84,1.5100,3.2100,23.25
hybrid-opt,60,1,3,48.04,18.35,5.1000,13.2300,4.80,1.5200,3.1700,23.15
hybrid-opt,60,4,1,47.09,14.42,5.1100,9.2900,4.53,1.5200,2.9000,18.95
hybrid-opt,60,4,2,46.97,13.00,5.1300,7.8500,4.51,1.5200,2.8800,17.51
hybrid-opt,60,4,3,47.12,17.51,5.1200,12.3700,4.55,1.5300,2.9100,22.06
hybrid-opt,90,1,1,52.96,18.30,5.0900,13.1900,6.91,2.1700,4.5600,25.21
hybrid-opt,90,1,2,52.67,18.31,5.0900,13.2000,6.80,2.1700,4.5000,25.11
hybrid-opt,90,1,3,52.67,18.32,5.0900,13.2200,6.82,2.1600,4.5200,25.14
hybrid-opt,90,4,1,51.63,17.48,5.1000,12.3700,6.65,2.1900,4.3200,24.13
hybrid-opt,90,4,2,51.17,17.45,5.0800,12.3600,6.57,2.1700,4.2600,24.02
hybrid-opt,90,4,3,51.48,17.51,5.0900,12.4000,6.63,2.1800,4.3200,24.14
hybrid-non-opt,10,1,1,1m,11.37,5.9100,5.4400,49.79,388.6800,49.3300,61.16
hybrid-non-opt,10,4,1,NA,NA,0.0000,0.0000,NA,0.0000,0.0000,NA
hybrid-non-opt,30,1,1,3m,11.36,5.9000,5.4400,2,875.5900,2.0000,13.36
hybrid-non-opt,30,4,1,NA,NA,0.0000,0.0000,NA,0.0000,0.0000,NA
hybrid-non-opt,60,1,1,5m,11.36,5.9000,5.4400,4,1.5400,4.0000,15.36
hybrid-non-opt,60,4,1,NA,NA,0.0000,0.0000,NA,0.0000,0.0000,NA
hybrid-non-opt,90,1,1,7m,11.36,5.8900,5.4500,7,2.2000,7.0000,18.36
hybrid-non-opt,90,4,1,NA,NA,0.0000,0.0000,NA,0.0000,0.0000,NA
