config,selectivity,drivers,repeat,total_time_s,build_cpu_s,build_i_s,build_f_s,probe_cpu_s,probe_i_s,probe_o_s,hashjoin_cpu_s,peak_mem_GB,error
baseline,10,1,1,51.56,31.58,24.42,7.14,1.48,0.44679,0.95899,33.059999999999995,21.23,
baseline,10,1,2,43.18,24.31,18.23,6.06,1.24,0.35705000000000003,0.81284,25.549999999999997,21.23,
baseline,10,1,3,43.28,24.29,18.21,6.06,1.25,0.35714,0.82228,25.54,21.23,
baseline,10,4,1,42.31,23.45,18.1,5.34,1.21,0.35352999999999996,0.78486,24.66,21.33,
baseline,10,4,2,42.74,18.31,18.19,0.09823,1.25,0.36355,0.8096599999999999,19.56,21.33,
baseline,10,4,3,42.41,23.56,18.21,5.33,1.21,0.35516000000000003,0.78479,24.77,21.33,
baseline,30,1,1,46.78,24.32,18.2,6.09,2.82,0.85811,1.86,27.14,21.23,
baseline,30,1,2,46.65,24.32,18.24,6.07,2.81,0.8588600000000001,1.86,27.13,21.23,
baseline,30,1,3,46.49,24.31,18.22,6.07,2.79,0.85453,1.85,27.099999999999998,21.23,
baseline,30,4,1,45.81,23.46,18.11,5.34,2.8,0.85862,1.84,26.26,21.33,
baseline,30,4,2,45.82,23.53,18.22,5.3,2.8,0.8565900000000001,1.85,26.330000000000002,21.33,
baseline,30,4,3,45.99,23.57,18.19,5.36,2.82,0.86397,1.86,26.39,21.33,
baseline,60,1,1,51.17,24.21,18.18,6.02,4.95,1.6,3.23,29.16,21.23,
baseline,60,1,2,51.32,24.28,18.19,6.07,4.98,1.6,3.27,29.26,21.23,
baseline,60,1,3,51.34,24.27,18.19,6.06,4.96,1.6,3.25,29.23,21.23,
baseline,60,4,1,50.43,23.44,18.09,5.33,4.94,1.6,3.23,28.380000000000003,21.33,
baseline,60,4,2,50.6,23.5,18.18,5.3,4.95,1.6,3.24,28.45,21.33,
baseline,60,4,3,50.99,18.74,18.62,0.09717,4.95,1.6,3.24,23.689999999999998,21.33,
baseline,90,1,1,55.79,24.26,18.19,6.05,6.99,2.31,4.54,31.25,21.23,
baseline,90,1,2,55.84,24.19,18.15,6.01,7.04,2.31,4.58,31.23,21.23,
baseline,90,1,3,55.92,24.29,18.21,6.07,6.99,2.31,4.54,31.28,21.23,
baseline,90,4,1,54.88,23.45,18.11,5.32,6.95,2.31,4.51,30.4,21.33,
baseline,90,4,2,55.07,23.5,18.16,5.33,6.95,2.31,4.5,30.45,21.33,
baseline,90,4,3,55.22,23.75,18.4,5.34,6.96,2.32,4.51,30.71,21.33,
hybrid-opt,10,1,1,40.65,18.29,5.08,13.19,1.41,0.34902,0.9830399999999999,19.7,21.30,
hybrid-opt,10,1,2,40.94,18.47,5.13,13.32,1.4,0.34804,0.98111,19.869999999999997,21.30,
hybrid-opt,10,1,3,40.78,18.38,5.1,13.26,1.4,0.34849,0.9814400000000001,19.779999999999998,21.30,
hybrid-opt,10,4,1,39.48,17.49,5.09,12.38,1.05,0.35172000000000003,0.62733,18.54,21.39,
hybrid-opt,10,4,2,39.87,17.66,5.13,12.51,1.05,0.35084,0.62521,18.71,21.39,
hybrid-opt,10,4,3,39.57,17.57,5.09,12.46,1.06,0.35093,0.6325,18.63,21.39,
hybrid-opt,30,1,1,43.81,18.34,5.09,13.23,2.81,0.83384,1.89,21.15,21.30,
hybrid-opt,30,1,2,44.16,18.32,5.09,13.21,2.85,0.8501799999999999,1.9,21.17,21.30,
hybrid-opt,30,1,3,44.36,18.45,5.13,13.3,2.83,0.84116,1.88,21.28,21.30,
hybrid-opt,30,4,1,42.48,17.45,5.1,12.34,2.44,0.83905,1.51,19.89,21.39,
hybrid-opt,30,4,2,42.64,17.58,5.1,12.46,2.45,0.84062,1.52,20.029999999999998,21.39,
hybrid-opt,30,4,3,42.88,17.69,5.15,12.52,2.44,0.83917,1.51,20.130000000000003,21.39,
hybrid-opt,60,1,1,48.38,18.31,5.08,13.22,4.87,1.52,3.23,23.18,21.30,
hybrid-opt,60,1,2,48.48,18.41,5.11,13.28,4.84,1.51,3.21,23.25,21.30,
hybrid-opt,60,1,3,48.04,18.35,5.1,13.23,4.8,1.52,3.17,23.150000000000002,21.30,
hybrid-opt,60,4,1,47.09,14.42,5.11,9.29,4.53,1.52,2.9,18.95,21.39,
hybrid-opt,60,4,2,46.97,13.0,5.13,7.85,4.51,1.52,2.88,17.509999999999998,21.39,
hybrid-opt,60,4,3,47.12,17.51,5.12,12.37,4.55,1.53,2.91,22.060000000000002,21.39,
hybrid-opt,90,1,1,52.96,18.3,5.09,13.19,6.91,2.17,4.56,25.21,21.30,
hybrid-opt,90,1,2,52.67,18.31,5.09,13.2,6.8,2.17,4.5,25.11,21.30,
hybrid-opt,90,1,3,52.67,18.32,5.09,13.22,6.82,2.16,4.52,25.14,21.30,
hybrid-opt,90,4,1,51.63,17.48,5.1,12.37,6.65,2.19,4.32,24.130000000000003,21.39,
hybrid-opt,90,4,2,51.17,17.45,5.08,12.36,6.57,2.17,4.26,24.02,21.39,
hybrid-opt,90,4,3,51.48,17.51,5.09,12.4,6.63,2.18,4.32,24.14,21.39,
hybrid-non-opt,10,1,1,83,11.37,5.91,5.44,49.79,0.38868,49.33,61.16,8.17,
hybrid-non-opt,10,4,1,24.83,5.63,3.89,1.74,39.62,0.40,39.14,45.25,2.85,
hybrid-non-opt,30,1,1,185,11.36,5.9,5.44,150,0.87559,149,161.36,8.17,
hybrid-non-opt,30,4,1,56.21,5.57,3.83,1.74,114.00,0.80,113.00,119.57,2.85,
hybrid-non-opt,60,1,1,328,11.36,5.9,5.44,291,1.54,289,302.36,8.17,
hybrid-non-opt,60,4,1,96.00,5.65,3.87,1.78,211.00,1.42,209.00,216.65,2.78,
hybrid-non-opt,90,1,1,474,11.36,5.89,5.45,434,2.2,432,445.36,8.17,
hybrid-non-opt,90,4,1,145.00,5.57,3.87,1.70,324.00,2.01,322.00,329.57,2.85,
